,year,geo_lvl,geo_cd,geo_desc,plan_type,tot_opioid_clms,tot_clms,opioid_prscrbng_rate,opioid_prscrbng_rate_5y_chg,opioid_prscrbng_rate_1y_chg,la_tot_opioid_clms,la_opioid_prscrbng_rate,la_opioid_prscrbng_rate_5y_chg,la_opioid_prscrbng_rate_1y_chg
112,2021,State,40.0,Oklahoma,FFS,293862.0,5776761.0,5.09,-2.09,0.83,78247.0,26.63,17.49,18.79
114,2021,State,41.0,Oregon,All,363484.0,9845328.0,3.69,-3.74,-0.25,47494.0,13.07,5.16,1.01
115,2021,State,41.0,Oregon,FFS,8422.0,2394937.0,0.35,-2.15,-0.15,220.0,2.61,-9.62,-0.63
116,2021,State,41.0,Oregon,MC,355062.0,7450391.0,4.77,-4.18,-0.22,47274.0,13.31,5.78,0.99
117,2021,State,42.0,Pennsylvania,All,455083.0,32695393.0,1.39,-4.07,-0.21,44975.0,9.88,1.3,0.11
118,2021,State,42.0,Pennsylvania,FFS,4481.0,412416.0,1.09,-1.15,-0.03,489.0,10.91,-4.55,-0.44
119,2021,State,42.0,Pennsylvania,MC,450602.0,32282977.0,1.4,-4.2,-0.2,44486.0,9.87,1.41,0.12
120,2021,State,44.0,Rhode Island,All,68584.0,3275571.0,2.09,-2.12,-0.02,5796.0,8.45,1.79,-0.16
121,2021,State,44.0,Rhode Island,FFS,1003.0,122998.0,0.82,-1.92,-0.37,73.0,7.28,-2.01,-2.82
122,2021,State,44.0,Rhode Island,MC,67581.0,3152573.0,2.14,-2.16,-0.02,5723.0,8.47,1.91,-0.1
123,2021,State,45.0,South Carolina,All,144556.0,6635919.0,2.18,-3.64,-0.18,12240.0,8.47,2.14,0.59
124,2021,State,45.0,South Carolina,FFS,20119.0,1018467.0,1.98,-1.74,-0.22,1730.0,8.6,0.26,-0.76
125,2021,State,45.0,South Carolina,MC,124437.0,5617452.0,2.22,-4.08,-0.17,10510.0,8.45,2.39,0.84
126,2021,State,46.0,South Dakota,All,26064.0,947559.0,2.75,-2.64,-0.12,2156.0,8.27,-1.06,-1.21
127,2021,State,46.0,South Dakota,FFS,26064.0,947559.0,2.75,-2.64,-0.12,2156.0,8.27,-1.06,-1.21
129,2021,State,47.0,Tennessee,All,694218.0,14161072.0,4.9,-2.15,1.03,443880.0,63.94,59.0,19.95
132,2021,State,48.0,Texas,All,576024.0,28375224.0,2.03,-1.71,-0.4,24379.0,4.23,-0.43,-0.17
133,2021,State,48.0,Texas,FFS,5628.0,595081.0,0.95,-0.84,-0.28,282.0,5.01,0.53,0.79
134,2021,State,48.0,Texas,MC,570396.0,27780143.0,2.05,-1.92,-0.41,24097.0,4.22,-0.45,-0.19
135,2021,State,49.0,Utah,All,123197.0,3383385.0,3.64,-3.56,-0.45,9259.0,7.52,-3.61,-1.36
136,2021,State,49.0,Utah,FFS,21255.0,1472772.0,1.44,-2.92,-0.27,1105.0,5.2,-3.9,-0.6
137,2021,State,49.0,Utah,MC,101942.0,1910613.0,5.34,-4.17,-0.57,8154.0,8.0,-3.89,-1.56
138,2021,State,50.0,Vermont,All,43511.0,1594969.0,2.73,-3.6,-0.21,5765.0,13.25,-0.84,-1.42
141,2021,State,51.0,Virginia,All,2797499.0,19305772.0,14.49,8.9,1.65,2461048.0,87.97,74.1,2.02
142,2021,State,51.0,Virginia,FFS,36579.0,317434.0,11.52,5.7,-2.77,33400.0,91.31,43.37,-0.39
143,2021,State,51.0,Virginia,MC,2760920.0,18988338.0,14.54,8.99,1.73,2427648.0,87.93,81.07,2.12
144,2021,State,53.0,Washington,All,510784.0,13531963.0,3.77,-3.49,-0.07,39970.0,7.83,-1.07,-0.07
145,2021,State,53.0,Washington,FFS,18383.0,586303.0,3.14,-6.58,-0.44,1107.0,6.02,0.15,0.46
146,2021,State,53.0,Washington,MC,492401.0,12945660.0,3.8,-3.21,-0.05,38863.0,7.89,-1.44,-0.11
147,2021,State,54.0,West Virginia,All,162857.0,8609004.0,1.89,-2.67,-0.08,7121.0,4.37,-0.43,0.18
150,2021,State,55.0,Wisconsin,All,491604.0,11162438.0,4.4,-3.26,-0.17,103567.0,21.07,4.97,-1.69
151,2021,State,55.0,Wisconsin,FFS,491604.0,11162438.0,4.4,-3.27,-0.17,103567.0,21.07,5.02,-1.69
153,2021,State,56.0,Wyoming,All,17713.0,446621.0,3.97,-2.44,-0.35,2010.0,11.35,2.13,-0.46
154,2021,State,56.0,Wyoming,FFS,17713.0,446621.0,3.97,-2.44,-0.35,2010.0,11.35,2.13,-0.46
159,2020,State,1.0,Alabama,All,182750.0,6731532.0,2.71,-2.92,-0.39,8428.0,4.61,-0.17,0.01
160,2020,State,1.0,Alabama,FFS,182750.0,6731532.0,2.71,-2.92,-0.39,8428.0,4.61,-0.17,0.01
162,2020,State,2.0,Alaska,All,57131.0,1329276.0,4.3,-3.31,-0.26,7264.0,12.71,0.39,0.07
163,2020,State,2.0,Alaska,FFS,57131.0,1329276.0,4.3,-3.31,-0.26,7264.0,12.71,0.39,0.07
165,2020,State,4.0,Arizona,All,528058.0,14379406.0,3.67,-4.12,-0.31,38059.0,7.21,-3.18,-0.24
166,2020,State,4.0,Arizona,FFS,8815.0,178530.0,4.94,-10.42,-1.58,574.0,6.51,-2.22,0.43
167,2020,State,4.0,Arizona,MC,519243.0,14200876.0,3.66,-4.06,-0.29,37485.0,7.22,-3.2,-0.25
168,2020,State,5.0,Arkansas,All,183608.0,4747650.0,3.87,-3.14,-0.45,6311.0,3.44,-1.35,-0.31
169,2020,State,5.0,Arkansas,FFS,169650.0,3808746.0,4.45,-2.56,-0.34,5925.0,3.49,-1.3,-0.3
171,2020,State,6.0,California,All,2438944.0,81928518.0,2.98,-2.61,-0.21,150614.0,6.18,-0.33,-0.13
172,2020,State,6.0,California,FFS,575354.0,21386281.0,2.69,-2.54,-0.27,54830.0,9.53,1.7,0.6
173,2020,State,6.0,California,MC,1863590.0,60542237.0,3.08,-2.67,-0.18,95784.0,5.14,-0.84,-0.32
174,2020,State,8.0,Colorado,All,389352.0,7539980.0,5.16,-5.05,-0.36,38019.0,9.76,1.04,0.5
175,2020,State,8.0,Colorado,FFS,369261.0,6960955.0,5.3,-4.91,-0.33,36275.0,9.82,1.1,0.52
177,2020,State,9.0,Connecticut,All,254566.0,8855410.0,2.87,-3.22,-0.31,22929.0,9.01,-0.85,1.2
178,2020,State,9.0,Connecticut,FFS,254566.0,8855410.0,2.87,-3.22,-0.31,22929.0,9.01,-0.85,1.2
180,2020,State,10.0,Delaware,All,72222.0,2676252.0,2.7,-3.6,-0.53,11609.0,16.07,0.3,0.16
181,2020,State,10.0,Delaware,FFS,686.0,34846.0,1.97,-3.14,0.2,50.0,7.29,-3.72,2.97
182,2020,State,10.0,Delaware,MC,71536.0,2641406.0,2.71,-3.65,-0.55,11559.0,16.16,0.18,0.11
183,2020,State,11.0,District of Columbia,All,46589.0,1845621.0,2.52,-2.3,-0.26,2039.0,4.38,-1.53,0.38
184,2020,State,11.0,District of Columbia,FFS,17873.0,691243.0,2.59,-2.72,-0.38,1206.0,6.75,-3.37,0.13
185,2020,State,11.0,District of Columbia,MC,28716.0,1154378.0,2.49,-2.0,-0.16,833.0,2.9,0.39,0.87
186,2020,State,12.0,Florida,All,660176.0,25356087.0,2.6,-2.43,0.02,52038.0,7.88,-1.41,0.72
187,2020,State,12.0,Florida,FFS,19615.0,1321554.0,1.48,-1.68,0.12,1651.0,8.42,0.41,0.22
188,2020,State,12.0,Florida,MC,640561.0,24034533.0,2.67,-2.62,0.02,50387.0,7.87,-1.52,0.75
189,2020,State,13.0,Georgia,All,517381.0,14513150.0,3.56,-2.71,-0.26,28777.0,5.56,0.49,-0.34
190,2020,State,13.0,Georgia,FFS,307447.0,6810582.0,4.51,-2.59,-0.38,24482.0,7.96,0.19,-0.79
191,2020,State,13.0,Georgia,MC,209934.0,7702568.0,2.73,-2.81,-0.18,4295.0,2.05,-0.02,0.2
192,2020,State,15.0,Hawaii,All,78057.0,2090581.0,3.73,-3.02,-0.18,6132.0,7.86,-3.15,-1.31
195,2020,State,16.0,Idaho,All,132076.0,3372544.0,3.92,-2.93,0.3,8694.0,6.58,-3.62,-1.35
196,2020,State,16.0,Idaho,FFS,132076.0,3372544.0,3.92,-2.93,0.3,8694.0,6.58,-3.62,-1.35
198,2020,State,17.0,Illinois,All,759916.0,24072560.0,3.16,-2.92,-0.16,22535.0,2.97,-0.9,-0.36
199,2020,State,17.0,Illinois,FFS,31192.0,1590871.0,1.96,-4.01,-0.04,820.0,2.63,-1.06,-0.21
200,2020,State,17.0,Illinois,MC,728724.0,22481689.0,3.24,-2.92,-0.21,21715.0,2.98,-1.02,-0.38
201,2020,State,18.0,Indiana,All,542625.0,15446410.0,3.51,-3.57,-0.16,29270.0,5.39,-1.62,-0.36
202,2020,State,18.0,Indiana,FFS,44665.0,2075456.0,2.15,-2.88,-0.16,3838.0,8.59,0.66,0.27
203,2020,State,18.0,Indiana,MC,497960.0,13370954.0,3.72,-5.49,-0.17,25432.0,5.11,-1.38,-0.4
204,2020,State,19.0,Iowa,All,437881.0,6801710.0,6.44,0.57,1.78,273534.0,62.47,55.6,16.48
205,2020,State,19.0,Iowa,FFS,6330.0,128504.0,4.93,-0.99,-0.03,3504.0,55.36,48.49,16.82
206,2020,State,19.0,Iowa,MC,431551.0,6673206.0,6.47,6.45,1.82,270030.0,62.57,62.57,16.31
207,2020,State,20.0,Kansas,All,90567.0,3109049.0,2.91,-3.43,-0.39,6379.0,7.04,-3.34,-0.71
208,2020,State,20.0,Kansas,FFS,130.0,12103.0,1.07,-1.8,-0.53,0.0,0.0,-9.74,-5.14
209,2020,State,20.0,Kansas,MC,90437.0,3096946.0,2.92,-3.44,-0.39,6379.0,7.05,-3.34,-0.71
210,2020,State,21.0,Kentucky,All,619883.0,21099248.0,2.94,-1.13,-0.04,17091.0,2.76,-0.44,0.03
