Year,Geo_Lvl,Geo_Cd,Geo_Desc,Plan_Type,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2021,State,44,Rhode Island,All,68584,3275571,2.09,-2.12,-0.02,5796,8.45,1.79,-0.16
2021,State,44,Rhode Island,FFS,1003,122998,0.82,-1.92,-0.37,73,7.28,-2.01,-2.82
2021,State,44,Rhode Island,MC,67581,3152573,2.14,-2.16,-0.02,5723,8.47,1.91,-0.1
2021,State,45,South Carolina,All,144556,6635919,2.18,-3.64,-0.18,12240,8.47,2.14,0.59
2021,State,45,South Carolina,FFS,20119,1018467,1.98,-1.74,-0.22,1730,8.6,0.26,-0.76
2021,State,45,South Carolina,MC,124437,5617452,2.22,-4.08,-0.17,10510,8.45,2.39,0.84
2021,State,46,South Dakota,All,26064,947559,2.75,-2.64,-0.12,2156,8.27,-1.06,-1.21
2021,State,46,South Dakota,FFS,26064,947559,2.75,-2.64,-0.12,2156,8.27,-1.06,-1.21
2021,State,46,South Dakota,MC,0,0,,,,0,,,
2021,State,47,Tennessee,All,694218,14161072,4.9,-2.15,1.03,443880,63.94,59,19.95
2021,State,47,Tennessee,FFS,248790,12648058,1.97,,-0.43,9710,3.9,,0.16
2021,State,47,Tennessee,MC,445428,1513014,29.44,,13.25,434170,97.47,,3.3
2021,State,48,Texas,All,576024,28375224,2.03,-1.71,-0.4,24379,4.23,-0.43,-0.17
2021,State,48,Texas,FFS,5628,595081,0.95,-0.84,-0.28,282,5.01,0.53,0.79
2021,State,48,Texas,MC,570396,27780143,2.05,-1.92,-0.41,24097,4.22,-0.45,-0.19
2021,State,49,Utah,All,123197,3383385,3.64,-3.56,-0.45,9259,7.52,-3.61,-1.36
2021,State,49,Utah,FFS,21255,1472772,1.44,-2.92,-0.27,1105,5.2,-3.9,-0.6
2021,State,49,Utah,MC,101942,1910613,5.34,-4.17,-0.57,8154,8,-3.89,-1.56
2021,State,50,Vermont,All,43511,1594969,2.73,-3.6,-0.21,5765,13.25,-0.84,-1.42
2021,State,50,Vermont,FFS,,1577673,,,,,,,
2021,State,50,Vermont,MC,,17296,,,,,,,
2021,State,51,Virginia,All,2797499,19305772,14.49,8.9,1.65,2461048,87.97,74.1,2.02
2021,State,51,Virginia,FFS,36579,317434,11.52,5.7,-2.77,33400,91.31,43.37,-0.39
2021,State,51,Virginia,MC,2760920,18988338,14.54,8.99,1.73,2427648,87.93,81.07,2.12
2021,State,53,Washington,All,510784,13531963,3.77,-3.49,-0.07,39970,7.83,-1.07,-0.07
2021,State,53,Washington,FFS,18383,586303,3.14,-6.58,-0.44,1107,6.02,0.15,0.46
2021,State,53,Washington,MC,492401,12945660,3.8,-3.21,-0.05,38863,7.89,-1.44,-0.11
2021,State,54,West Virginia,All,162857,8609004,1.89,-2.67,-0.08,7121,4.37,-0.43,0.18
2021,State,54,West Virginia,FFS,162696,8296735,1.96,-2.39,,,,,
